M1,Mn1,p2,Theta,Beta
2.27502,1.64751,3,20,46.4,
2.39161,1.67332,3.1,20,44.4,
2.4955,1.69874,3.2,20,42.9,
2.59126,1.72378,3.3,20,41.7,
2.68675,1.74847,3.4,20,40.6,
2.77536,1.77281,3.5,20,39.7,
2.86135,1.79682,3.6,20,38.9,
2.94388,1.82052,3.7,20,38.2,
3.02895,1.84391,3.8,20,37.5,
3.1095,1.86701,3.9,20,36.9,
3.18463,1.88982,4,20,36.4,
3.26135,1.91237,4.1,20,35.9,
3.33156,1.93465,4.2,20,35.5,
3.40288,1.95667,4.3,20,35.1,
3.47537,1.97846,4.4,20,34.7,
3.54908,2,4.5,20,34.3,
3.6147,2.02131,4.6,20,34,
3.68105,2.04241,4.7,20,33.7,
3.74815,2.06328,4.8,20,33.4,
3.80587,2.08395,4.9,20,33.2,
3.87429,2.10442,5,20,32.9,
